Concelho Datahora M* FG* Km Via,Natureza
Alfandega da Fé 2005:05:26 14:45:00 0 1 EF - Estrada Florestal,Despiste simples
"Alfandega da Fé 2005:08:23 05:15:00 1 0 65,6 EN315",Despiste c/capotamento
Alfandega da Fé 2005:11:20 17:00:00 0 1 EM - Estrada Municipal,Despiste c/capotamento
Bragança 2005:01:17 17:50:00 0 1 Av. Sá Carneiro,Col.tra.c/outro veíc.em mov.
Bragança 2005:01:25 16:45:00 0 1 R. Camilo Castelo Branco,Atropelamento peões
Bragança 2005:01:31 19:30:00 0 1 Av. Abade Baçal,Atropelamento peões
Bragança 2005:03:01 17:15:00 0 1 Av. Gen. Humberto Delgado,Atropelamento peões
Bragança 2005:03:10 14:30:00 0 1 R. Fernando Pessoa,Colisão c/fuga
Bragança 2005:03:13 10:30:00 0 1 Av. Cantarias,Atropelamento peões
"Bragança 2005:03:22 15:45:00 2 2 235,400 EN15",Col.lat.c/outro veíc.em mov.
Bragança 2005:03:26 01:25:00 0 1 Av. Forças Armadas,Despiste simples
"Bragança 2005:03:30 09:30:00 0 1 225,000 EN206",Despiste c/capotamento
Bragança 2005:04:06 11:15:00 0 1 Parque Estac. Fórum,Despiste simples
"Bragança 2005:06:21 18:30:00 0 1 11,700 EN103-7",Despiste simples
Bragança 2005:06:21 20:45:00 0 2 R. S. Roque,Col.c/veic.ou obst.na f.de rod.
"Bragança 2005:06:26 16:45:00 1 0 236,800 IP4",Despiste simples
Bragança 2005:07:01 20:15:00 0 1 EM501-1,Desp.c/col.c/veíc.imobil.ou obst.
Bragança 2005:07:24 00:10:00 0 1 R. Eng. Amaro Da Costa,Atropelamento peões
Bragança 2005:07:24 20:05:00 0 1 R. Prof. Dr. Ant. Gonçalves Rodrigues,Col.tra.c/outro veíc.em mov.
Bragança 2005:07:31 01:40:00 0 1 EM501-1,Despiste simples
Bragança 2005:08:04 16:45:00 0 1 Av. Sá Carneiro,Desp.c/col.c/veíc.imobil.ou obst.
Bragança 2005:08:13 17:30:00 0 2 EF - Estrada Florestal,Despiste simples
Bragança 2005:09:01 17:00:00 1 0 EF - Estrada Florestal,Despiste c/capotamento
"Bragança 2005:09:14 22:00:00 1 0 0,900 EN15-5",Atropelamento peões
Bragança 2005:09:16 15:00:00 1 0 R. Cláudio Mesquita Rosa,Desp.c/col.c/veíc.imobil.ou obst.
Bragança 2005:09:27 10:40:00 0 1 Av. Abade Barçal,Atropelamento peões
"Bragança 2005:10:12 02:00:00 1 0 208,141 IP4",Despiste simples
"Bragança 2005:10:13 14:40:00 0 1 258,300 EN103",Despiste simples
Bragança 2005:10:13 19:15:00 0 1 Av. Abade Braçal,Atropelamento peões
Bragança 2005:10:26 15:10:00 0 1 R. Principal,Colisão frontal
"Bragança 2005:12:05 08:50:00 0 1 237,450 EN15",Col.lat.c/outro veíc.em mov.
Bragança 2005:12:12 17:30:00 1 0 Av. Sá Carneiro,Atropelamento peões
Bragança 2005:12:13 09:10:00 0 1 R Dr. Manuel Bento,Atropelamento peões
"Bragança 2005:12:21 21:40:00 0 3 190,000 IP4",Despiste c/capotamento
Bragança 2005:12:22 16:45:00 0 1 R. Estrada Turismo,Col.lat.c/outro veíc.em mov.
C.de Ansiães  2005:09:10 15:45:00 1 1 R. Pinheiro Manso,Desp.c/col.c/veíc.imobil.ou obst.
"C. de Ansiães  2005:10:04 19:20:00 0 1 10,005 EN214",Colisão frontal
"F. Esp.à Cinta 2005:04:17 16:15:00 0 1 35,850 EN220",Colisão frontal
"F. Esp.à Cinta 2005:07:24 07:45:00 0 1 97,800 EN221",Despiste simples
"F. Esp.à Cinta 2005:08:11 03:20:00 0 2 93,500 EN221",Despiste c/capotamento
"F. Esp.à Cinta 2005:09:09 21:00:00 1 0 71,800 EN221",Atropelamento peões
"F. Esp.à Cinta 2005:10:15 23:05:00 1 0 12,800 EN221",Atropelamento peões
M. de Cavaleiros 2005:01:06 11:00:00 1 0 EM - Estrada Municipal,Despiste c/capotamento
"M. de Cavaleiros 2005:01:13 13:00:00 1 0 17,400 IP4",Col.lat.c/outro veíc.em mov.
M. de Cavaleiros 2005:02:02 09:30:00 0 1 EM1114,Desp.c/col.c/veíc.imobil.ou obst.
M. de Cavaleiros 2005:02:18 21:15:00 1 2 EM - Estrada Municipal,Col.lat.c/outro veíc.em mov.
"M. de Cavaleiros 2005:03:21 20:00:00 0 2 174,000 IP4",Colisão frontal
M. de Cavaleiros 2005:07:03 20:40:00 1 0 EM1107,Despiste c/capotamento
"M. de Cavaleiros 2005:08:12 06:00:00 0 1 48,100 EN217",Despiste c/capotamento
M. de Cavaleiros 2005:12:09 18:50:00 1 0 EM - Estrada Municipal,Despiste c/capotamento
M. do Douro 2005:05:08 17:00:00 0 1 EM569,Desp.s/disp.de ret.
"M. do Douro 2005:05:13 22:00:00 0 2 78,500 EN218",Colisão frontal
M. do Douro 2005:09:28 06:40:00 1 0 EN221-2,Atropelamento peões
"M. do Douro 2005:10:04 07:30:00 0 1 6,600 EN221",Col.lat.c/outro veíc.em mov.
"M. do Douro 2005:11:14 09:15:00 1 0 82,070 EN218",Col.lat.c/outro veíc.em mov.
Mirandela 2005:01:04 14:30:00 0 1 EM - Estrada Municipal,Despiste c/capotamento
Mirandela 2005:06:18 00:00:00 0 1 R. S. Sebastião,Colisão frontal
